# unlabeled youtube video segments from the dcase dataset, reformated like google_audioset_meta
# 10 classes: /m/07pp_mv, /m/09x0r, /m/0bt9lr, /m/01yrx, /m/04brg2, /m/0dxrf, /m/04fgwm, /m/0d31p, /m/02pjr4, /m/0838f
# YTID, start_seconds, end_seconds
-Ar4PKnkW4g, 30.000, 40.000
-B5DiOSRRaE, 30.000, 40.000
-BF5MwxM3iY, 30.000, 40.000
-BGOlBck6D4, 130.000, 140.000
-BL3E3sLc78, 30.000, 40.000
-BLD2zJt6Fg, 12.000, 22.000
-BLjIL2ROoo, 14.000, 24.000
-BjbonGxYrY, 30.000, 40.000
-BrGEW6o1i0, 0.000, 10.000
-CPNNk0Yy_o, 30.000, 40.000
-Cscub2da40, 60.000, 70.000
-CsyccdK-W0, 30.000, 40.000
-D8SmpQS4pA, 40.000, 50.000
-Dqs5gfCs6w, 1.000, 11.000
-DsCcOSF_-c, 13.000, 23.000
-E7YRiWlfFI, 15.000, 25.000
-ELF0Yf7sGQ, 30.000, 40.000
-Ef0YmW7OVg, 30.000, 40.000
-EfASI0k7JY, 24.000, 34.000
-FGoF0ZNiFE, 20.000, 30.000
-FHaYjqVPZ8, 11.000, 21.000
-FL9SIdEWMo, 10.000, 20.000
-FNu8b_mSzw, 30.000, 40.000
-FR4W309dYo, 30.000, 40.000
-FVcaKITrV0, 30.000, 40.000
-FwemucIizg, 30.000, 40.000
-G2OMjRN67o, 30.000, 40.000
-GD61bym00o, 30.000, 40.000
-GUOAK-SotI, 30.000, 40.000
-Gp9-o-75bA, 13.000, 23.000
-HGmUSY9YcA, 30.000, 40.000
-HV2XcVRF7I, 10.000, 20.000
-HVUL5tNzdo, 30.000, 40.000
-HXs9lSAcW0, 30.000, 40.000
-HZbxhzv_SU, 10.000, 20.000
-HtMOrXQ778, 30.000, 40.000
-Hwn7UdBguE, 30.000, 40.000
-IBfSiR2SR0, 30.000, 40.000
-IK4okM-Xxw, 30.000, 40.000
-IL_HB4hPxs, 30.000, 40.000
-I_Ej65k3Rg, 30.000, 40.000
-IiNFQu84JE, 0.000, 10.000
-IlaBGP83MU, 30.000, 40.000
-J8jvsVQcvo, 30.000, 40.000
-JKnrzprvBc, 30.000, 40.000
-JXX1SwOMpk, 24.000, 34.000
-JaOCfaUJWQ, 410.000, 420.000
-K2G4ofiEQc, 19.000, 29.000
-KNbjkvO-9c, 30.000, 40.000
-KbQm2-3C4k, 29.000, 39.000
-KupNr9LL5k, 30.000, 40.000
-LKvu9q54f0, 0.000, 10.000
-LffRs6dGrc, 30.000, 40.000
-LgIM3tdojI, 30.000, 40.000
-MJMfVFvtSE, 14.000, 24.000
-MLUvNEPuz4, 28.000, 38.000
-MMZGpA0JaE, 29.000, 39.000
-MobtxIiE20, 0.000, 7.000
-Mvkc9TSOL8, 30.000, 40.000
-MxK8DHwy3w, 30.000, 40.000
-N9BMANnB4Q, 30.000, 40.000
-Nkwof_YdnI, 100.000, 110.000
-NsCNnryC9c, 21.000, 31.000
-O5cvwVpbX0, 30.000, 40.000
-OJ35DMZPA4, 30.000, 40.000
-OMWnmggY_E, 30.000, 40.000
-OYH48ShvI8, 30.000, 40.000
-P6nEMyReaE, 30.000, 40.000
-PB3rA4ycmo, 30.000, 40.000
-PElziHvJ3U, 30.000, 40.000
-PuWjo7dpww, 20.000, 30.000
-PveIRMYamI, 15.000, 25.000
-Q71aWU_p-Q, 16.000, 26.000
-QR3VA9idqE, 30.000, 40.000
-QUekc3RWOI, 20.000, 30.000
-Qkeiyhg2zE, 30.000, 40.000
-QljCZB_drE, 0.000, 10.000
-QsWIB_b6Zo, 30.000, 40.000
-R63vPG2h6I, 30.000, 40.000
-RE5PoXruHk, 30.000, 40.000
-RKD5GjLpfM, 0.000, 10.000
-RLMMpPb3q0, 30.000, 40.000
-R_uYwNKTBg, 50.000, 60.000
-RxEnTIkwzA, 30.000, 40.000
-S4jm_6mb3s, 4.000, 14.000
-SDds0E7bXg, 30.000, 40.000
-SXEqBx0DVc, 30.000, 40.000
-SYgILEj6kc, 30.000, 40.000
-SuEOOhyRKs, 30.000, 40.000
-T7wZVWM9tw, 16.000, 26.000
-T8RSS2FSDw, 30.000, 40.000
-TEDB6AX07Y, 30.000, 40.000
-TTqpLD26Gs, 30.000, 40.000
-TgSr3vJn3M, 10.000, 20.000
-Thh8i26WWQ, 30.000, 40.000
-TzSpyPJKxE, 30.000, 40.000
-UABKvuyAvA, 50.000, 60.000
-US0Qih3W9k, 20.000, 30.000
-U_cJtIUmwA, 30.000, 40.000
-Ue433vJTiU, 30.000, 40.000
-UfsDQi742A, 30.000, 40.000
-Ug-2wnKYBo, 30.000, 40.000
-UlvMQaJqZc, 30.000, 40.000
-UvFP77JvN0, 0.000, 4.000
-V2kHoPX7Hg, 25.000, 35.000
-VDtEHmms0A, 30.000, 40.000
-V_mZVWtbXU, 30.000, 40.000
-VllZ9z5k1g, 30.000, 40.000
-WgGU2KpMQc, 30.000, 40.000
-XHCNk2LRHc, 30.000, 40.000
-XOUZyVPH8M, 130.000, 140.000
-XXv15YKBnk, 30.000, 40.000
-XZsrkx1QTg, 100.000, 110.000
-Xdht0zhspk, 30.000, 40.000
-Xfel4L0Nxw, 6.000, 16.000
-YHADUxbp2w, 80.000, 90.000
-YawS1V9O5U, 30.000, 40.000
-Ysq1TqIuds, 30.000, 40.000
-ZDa0LO4cP8, 30.000, 40.000
-ZKCIk5jfE0, 30.000, 40.000
-_COoQ_u3ec, 23.000, 33.000
-_JHvA7dcQ0, 26.000, 36.000
-_YP1816qkY, 30.000, 40.000
-_iFkUjP1Og, 30.000, 40.000
-_mJl31MZtI, 10.000, 20.000
-_ne4wSC93g, 30.000, 40.000
-a-DSDbnkw8, 30.000, 40.000
-aE7fQbinYU, 30.000, 40.000
-aJGDeE7mm0, 9.000, 19.000
-aWFoZaKswQ, 0.000, 10.000
-aaJ1sMDtmk, 260.000, 270.000
-ajKrHGNY_4, 21.000, 31.000
-axeqxpXIWI, 30.000, 40.000
-b3TOeZJppc, 30.000, 40.000
-bG5Fad_RrA, 30.000, 40.000
-bL8EorY7K4, 30.000, 40.000
-bVfRhfALDw, 60.000, 70.000
-bWU80OTJZ0, 30.000, 40.000
-bZKJKof28g, 150.000, 160.000
-byEnRlJllk, 30.000, 40.000
-byrT-MEIKo, 80.000, 90.000
-c0P9j5Qcmw, 70.000, 80.000
-c4VJgEw7aU, 90.000, 100.000
-cE1-JmqWOk, 30.000, 40.000
-cEy8ULZYP8, 30.000, 40.000
-cRPbLrJUNE, 16.000, 26.000
-cSwCn4Rh_A, 50.000, 60.000
-cUxmc3-euQ, 90.000, 100.000
-cVTUyOWRj8, 30.000, 40.000
-csNjXS_L6k, 80.000, 90.000
-cuIyBgL2WU, 30.000, 40.000
-cvyyPioPlQ, 30.000, 40.000
-dFvAqdLaM8, 30.000, 40.000
-dQdf-IXotc, 30.000, 40.000
-dWPqjwn7oI, 50.000, 60.000
-duEpY0MecM, 30.000, 40.000
-e5l2PwHZC4, 30.000, 40.000
-eBA9-N6VE0, 30.000, 40.000
-eHgz0EW43o, 30.000, 40.000
-eZH2adRBQc, 60.000, 70.000
-ehkWBZK9cc, 50.000, 60.000
-enmlZbkr_g, 30.000, 40.000
-f4mhC6iEQg, 440.000, 450.000
-f69Qq9Q5QI, 0.000, 10.000
-fKwciZMwKA, 90.000, 100.000
-frGzbkjGBs, 30.000, 40.000
-gRrVB-eMhQ, 30.000, 40.000
-gkXS0sCahM, 30.000, 40.000
-h4GjvEn-xM, 30.000, 40.000
-hANYqOe6UU, 10.000, 20.000
-hb4hcrM9wY, 230.000, 240.000
-hmxj4RXeeE, 10.000, 20.000
-hrPupGc2zE, 7.000, 17.000
-hvbMS-_BHE, 10.000, 20.000
-iACF4rnTsM, 70.000, 80.000
-iDEnaFYOOg, 30.000, 40.000
-iYTyeANFVM, 30.000, 40.000
-j6b3MMs7FI, 0.000, 8.000
-jCrIH2sB0E, 6.000, 16.000
-jICNm6Iim8, 4.000, 14.000
-jaZPZeg1JE, 1.000, 11.000
-jz5Eco0mJI, 0.000, 10.000
-k9hzXqqRRc, 10.000, 20.000
-kNMHtXJfIQ, 10.000, 20.000
-kVbycM8zcI, 30.000, 40.000
-kpfKim2ipc, 30.000, 40.000
-ksf1bRs8T0, 30.000, 40.000
-lNmWtIiM9c, 30.000, 40.000
-lSk0uhfMzw, 21.000, 31.000
-mDWDJdOKa8, 20.000, 30.000
-mOyDOzyTxI, 30.000, 40.000
-mSwjIS8V3M, 0.000, 10.000
-mYV6nHZ124, 50.000, 60.000
-mfOIJLtEVM, 19.000, 29.000
-nJ_6oiTEg8, 30.000, 40.000
-nOq5m-eRZU, 3.000, 13.000
-nYGivHQjWM, 40.000, 50.000
-nuTord0EkY, 30.000, 40.000
-o219Tx6Kq8, 60.000, 70.000
-oLbZyEJNPg, 30.000, 40.000
-oQrR29dINE, 60.000, 70.000
-p8OnzI0K7E, 30.000, 40.000
-pSkWztl5Uc, 30.000, 40.000
-q0rTpXqEXs, 30.000, 40.000
-qHe0U3il38, 160.000, 170.000
-qM27Bttvdk, 10.000, 20.000
-r3LTx3BmfY, 30.000, 40.000
-rPJ7Wsc0DM, 30.000, 40.000
-rZzA3elTJ0, 24.000, 34.000
-rgxWh99GZs, 30.000, 40.000
-rjFEuMUTQQ, 0.000, 9.000
-sD4zibhTFc, 30.000, 40.000
-tGEkK_Whvo, 40.000, 50.000
-tIExGIwFKg, 50.000, 60.000
-th5N8bWkA8, 24.000, 34.000
-tkH2A0jFrw, 19.000, 29.000
-u0Rb_JX860, 140.000, 150.000
-uL7I8CG6N0, 30.000, 40.000
-uX6JI_RjZ0, 10.000, 20.000
-uaJhmrPg_Y, 30.000, 40.000
-uz4BPWUQPo, 30.000, 40.000
-uzciSGyZAg, 20.000, 30.000
-vGtsUX9LCM, 7.000, 17.000
-vMFO1F6eU0, 20.000, 30.000
-vepERSZeGQ, 30.000, 40.000
-vzIcS42Qoo, 12.000, 22.000
-w4XcyJiU2I, 10.000, 20.000
-wDemwOuiuM, 30.000, 40.000
-wYSFtND2Ws, 10.000, 20.000
-wtWVkGEpAY, 30.000, 40.000
-xVOKxpjvss, 0.000, 9.000
-xX1mmDUC9U, 30.000, 40.000
-x_mnLpPv8s, 0.000, 10.000
-xct-MEGsh8, 30.000, 40.000
-xhY427Pnf8, 30.000, 40.000
-xieOaxGx8E, 30.000, 40.000
-y0bmymI4gg, 30.000, 40.000
-y0yDvJfGdY, 30.000, 40.000
-yAsMOriBAM, 80.000, 90.000
-ySlQWUNIiw, 10.000, 20.000
-ybHTybEnh8, 30.000, 40.000
-yjaKP5J6Kg, 30.000, 40.000
-zD5NRFPGCU, 0.000, 5.000
0-Hyr7i26-M, 40.000, 50.000
0-rSEfqAuyY, 40.000, 50.000
0-vVmZSGnUY, 30.000, 40.000
0-ztjlgsmxw, 11.000, 21.000
009KWpkgLZc, 0.000, 10.000
00LeqWQQqXc, 50.000, 60.000
00OE2VN0e7w, 30.000, 40.000
00PMurXGTMc, 40.000, 50.000
00blI-fhBRI, 30.000, 40.000
00l5IeYDHlo, 21.000, 31.000
00uPwEZ29rw, 20.000, 30.000
00z7Ksgr9Nw, 0.000, 7.000
01K0RYS5JOs, 30.000, 40.000
01Ngn-L0KIc, 30.000, 40.000
01rEOrFIUO0, 5.000, 15.000
01rkoRX8L8M, 19.000, 29.000
02IacAQLR5o, 30.000, 40.000
02Vmi1JY5rc, 30.000, 40.000
02s2MXQqBnE, 40.000, 50.000
02sESlzy10E, 20.000, 30.000
032uBSo-r9E, 200.000, 210.000
03HRXK03Vws, 30.000, 40.000
03Syq1dplQk, 0.000, 10.000
03kQ6oXb_xE, 40.000, 50.000
03qZu23rsQs, 30.000, 40.000
046ueckSbw4, 30.000, 40.000
049hif07E_I, 30.000, 40.000
04Gtp7e1RiQ, 0.000, 10.000
04OWVACEdf0, 30.000, 40.000
04_bFVAHEvQ, 50.000, 60.000
04rOSk0J5q8, 30.000, 40.000
04zNqKUsT_8, 30.000, 40.000
05-HByWyCrI, 30.000, 40.000
0580IT2ORS0, 30.000, 40.000
05E2y5UXYi4, 150.000, 160.000
05NLqKRltuI, 30.000, 40.000
05SIGfzWUws, 30.000, 40.000
05T-qaB-bI0, 30.000, 40.000
05pXAwm8EJk, 0.000, 7.000
05zALRKaib0, 30.000, 40.000
06MxDG02YKQ, 40.000, 50.000
06qdRReVxJ0, 30.000, 40.000
072tjja8mm8, 0.000, 10.000
075DT9lUWOk, 20.000, 30.000
077_m7wNT3I, 20.000, 30.000
07MfMBdZEtI, 230.000, 240.000
07R504x-NAk, 30.000, 40.000
07SjhI8-C9g, 50.000, 60.000
07uRPBGZDpY, 30.000, 40.000
08G7Tj6HnAM, 29.000, 39.000
08LxcOufjwU, 8.000, 18.000
08QpoeLJkTU, 30.000, 40.000
08mrHAr9sj8, 30.000, 40.000
096oTVzc5Gs, 30.000, 40.000
098Xbi0qjwE, 180.000, 190.000
09Aj1Dxuqgc, 30.000, 40.000
09EA84vYgHg, 18.000, 28.000
09FzEwrwdgg, 0.000, 8.000
09QcDE7NZg8, 8.000, 18.000
09UVb6Ac4EQ, 30.000, 40.000
09hPW_9Q8Rw, 20.000, 30.000
09hxCuIfofM, 6.000, 16.000
0AO697AQjUU, 40.000, 50.000
0AWFcHQxdsU, 30.000, 40.000
0AXiOYd9YRY, 11.000, 21.000
0AYhM0TgbO8, 30.000, 40.000
0AfvBWHecq8, 30.000, 40.000
0Aq_uMkGIvY, 16.000, 26.000
0AuWiT7RBUg, 30.000, 40.000
0AwBPg4m5t8, 30.000, 40.000
0B46SFlR1k4, 30.000, 40.000
0BMSYPkPht4, 100.000, 110.000
0BMbA9wcc0s, 30.000, 40.000
0BaMj-LMg1E, 20.000, 30.000
0BjYmkNBbrY, 250.000, 260.000
0Bn4TOqKMdY, 30.000, 40.000
0BpCJrqP0QE, 100.000, 110.000
0BthxTfiw20, 30.000, 40.000
0BwgEjw2aCs, 30.000, 40.000
0BzKPzhMkM4, 0.000, 10.000
0C0FQaMbk84, 30.000, 40.000
0C7eOIAdpXM, 110.000, 120.000
0CUKC57cWsI, 30.000, 40.000
0Cj9jBk2tSI, 30.000, 40.000
0CkS7tU8j5g, 30.000, 40.000
0DG6kpJvehc, 7.000, 17.000
0DJz1jkZ9F0, 5.000, 15.000
0DL92_Gd79M, 5.000, 15.000
0E9LAPdM4sk, 30.000, 40.000
0EO1nMd7hUs, 12.000, 22.000
0EQo_RDOrlg, 30.000, 40.000
0EqdZJerw3A, 30.000, 40.000
0FTwZ0wwiAg, 30.000, 40.000
0FWL8ljUSv0, 29.000, 39.000
0FX2fDsp9_o, 30.000, 40.000
0FviV2UwddY, 30.000, 40.000
0GJCbGp_v1g, 30.000, 40.000
0GLCHyh3LoU, 40.000, 50.000
0GLh8jxkf1M, 10.000, 20.000
0Gd4xTur9mk, 20.000, 30.000
0Gj00V-_AZM, 70.000, 80.000
0GpPvJSWc-c, 30.000, 40.000
0H2Z7gTksRg, 29.000, 39.000
0H43VJjD5vc, 30.000, 40.000
0H6gTOiPrnA, 19.000, 29.000
0H9vC_jwimo, 26.000, 36.000
0HEVptNptNo, 0.000, 10.000
0HMa_BIbTo0, 20.000, 30.000
0Hhdjzdj_kE, 30.000, 40.000
0HmELJ6RgG0, 340.000, 350.000
0IFpotWyauA, 30.000, 40.000
0IGsVL49I2M, 30.000, 40.000
0J5N5DPsJuA, 50.000, 60.000
0JCzVhY-qiY, 14.000, 24.000
0JqQzE4wGEo, 30.000, 40.000
0KR-Mj4zwAA, 140.000, 150.000
0KRZZN39pUY, 70.000, 80.000
0KjsDjafNNM, 0.000, 10.000
0KmTFOFdorI, 30.000, 40.000
0KrWJVuZfg0, 30.000, 40.000
0LDkYf7vr_A, 0.000, 10.000
0LT7mKZQmVI, 10.000, 20.000
0L_2p3Edc-s, 30.000, 40.000
0LbQ5G7IMjo, 30.000, 40.000
0LluMY25jMM, 40.000, 50.000
0MP4-J-3674, 30.000, 40.000
0MUsjC-M_YI, 21.000, 31.000
0MzepZ97vfI, 30.000, 40.000
0NSfQpFsi0I, 30.000, 40.000
0N_WWLhn6Rk, 30.000, 40.000
0OS1Wj8n6CM, 0.000, 5.000
0OfSfQW-5N4, 0.000, 7.000
0PRu59duV0Q, 20.000, 30.000
0PfQ5Ja2cCQ, 30.000, 40.000
0QSg9bSOgbA, 15.000, 25.000
0Qj4HFsX2KE, 170.000, 180.000
0Qphjp4eeqw, 160.000, 170.000
0R-3oUv6J8o, 60.000, 70.000
0RIzH6OGlpY, 30.000, 40.000
0Ru1xFHudB4, 40.000, 50.000
0RuAH4pGUS0, 30.000, 40.000
0S-IlwRgvlw, 30.000, 40.000
0S1Zg_dM5b0, 19.000, 29.000
0SHuZ_NQ2fg, 110.000, 120.000
0SIo61DEnb8, 200.000, 210.000
0SnvQcCVHZU, 30.000, 40.000
0T0MFoavHic, 30.000, 40.000
0UVCXuMtX0g, 120.000, 130.000
0U_ZKk7-wXs, 30.000, 40.000
0UjddvwlLuE, 21.000, 31.000
0UlteOknFwI, 30.000, 40.000
0V0ObiIcrz8, 27.000, 37.000
0VE262FFTt4, 29.000, 39.000
0VcXh-snLbU, 5.000, 15.000
0VsNKElFamw, 10.000, 20.000
0W1sdHWIuAs, 30.000, 40.000
0WliyKk5lbg, 30.000, 40.000
0XF6krDXb5s, 30.000, 40.000
0Xrg64OjC5o, 30.000, 40.000
0Y01I2Zd9Cc, 30.000, 40.000
0YXCgZeIiFQ, 14.000, 24.000
0YckF-1pCu8, 30.000, 40.000
0YeY1PT13uE, 30.000, 40.000
0Z8EAvK2R-g, 30.000, 40.000
0ZIy0COr3NM, 10.000, 20.000
0ZP_JGQbwPw, 30.000, 40.000
0ZWIzKZ1zD8, 0.000, 10.000
0ZmnmChNh1A, 40.000, 50.000
0_-XvaDuAOc, 5.000, 15.000
0_8771GBT4k, 8.000, 18.000
0_XFh5-nxQw, 30.000, 40.000
0_nVXkPA9Sk, 30.000, 40.000
0_rilrJrZ0E, 30.000, 40.000
0a9ihM79X7I, 360.000, 370.000
0aEwZLLrWF8, 30.000, 40.000
0aZF5Pn-zhM, 30.000, 40.000
0ajEZTMYsWs, 30.000, 40.000
0azTPjI1rII, 90.000, 100.000
0bMuEbpYTws, 30.000, 40.000
0bNyA9bIT60, 20.000, 30.000
0bk8T9DGK18, 30.000, 40.000
0bmzb1Vhf5U, 0.000, 7.000
0c7SAYJGxjM, 30.000, 40.000
0cI33KTedNc, 21.000, 31.000
0cn7fTb6GSE, 4.000, 14.000
0dEDrhVH9Hs, 100.000, 110.000
0dNoDdmS6G8, 110.000, 120.000
0e5W2EMMwCc, 30.000, 40.000
0e9gHLgzsmA, 30.000, 40.000
0eURlUhEb04, 30.000, 40.000
0eYUV57YAII, 30.000, 40.000
0eeMHpjwouQ, 30.000, 40.000
0eeY89E_2zA, 10.000, 20.000
0eh8V4BDe7o, 10.000, 20.000
0er5-iJmlBE, 40.000, 50.000
0f7hKI3JNQE, 17.000, 27.000
0fE0ZMBCmbk, 30.000, 40.000
0fPqbvlhkOc, 30.000, 40.000
0fsem0iJ3GI, 0.000, 10.000
0fxD0B1b8sw, 30.000, 40.000
0g4Ih2aT7sU, 30.000, 40.000
0g9Z107hDWQ, 60.000, 70.000
0gD6-Tes60A, 30.000, 40.000
0gFSuvRi6TI, 4.000, 14.000
0gJPpZXeGms, 10.000, 20.000
0gO8aoW90Y8, 30.000, 40.000
0gPlTfMVr20, 20.000, 30.000
0gdCLkscZzM, 90.000, 100.000
0gk9dznEN60, 0.000, 10.000
0gp45ijH6a4, 30.000, 40.000
0gqQHktMvZU, 190.000, 200.000
0h5NeRwdBbE, 60.000, 70.000
0hH-P2xQvMI, 0.000, 10.000
0hScaQJplis, 24.000, 34.000
0hbWV3wGZS8, 20.000, 30.000
0hjJM-URVew, 30.000, 40.000
0i51hDY_RPA, 80.000, 90.000
0iTS3KVLTf8, 29.000, 39.000
0iVmMWAx9Q4, 18.000, 28.000
0iddfGXXM34, 30.000, 40.000
0ifCQo6t_zQ, 30.000, 40.000
0il4ZrPFkh0, 90.000, 100.000
0jS_ViL5QmY, 30.000, 40.000
0jTGXM7yEqs, 30.000, 40.000
0jY3fH4-xtY, 20.000, 30.000
0jZ46GKbDO4, 30.000, 40.000
0jhMDwFvNUs, 0.000, 10.000
0kJ_iLMqVxw, 20.000, 30.000
0kLtPfcdHo0, 10.000, 20.000
0kuC-9cmg4w, 9.000, 19.000
0lNMFBewKek, 30.000, 40.000
0lOpQriG9AQ, 30.000, 40.000
0lSzx8v1oEE, 240.000, 250.000
0ls79v47C78, 14.000, 24.000
0mDkebaAeLI, 120.000, 130.000
0mZqW7DclqI, 30.000, 40.000
0mf31tqZhFs, 60.000, 70.000
0mj1zUxzpzc, 30.000, 40.000
0mlV-ebLnLk, 40.000, 50.000
0n1F9N-BE94, 21.000, 31.000
0nPYxC6V0fI, 330.000, 340.000
0nXHO9hRfO4, 17.000, 27.000
0nbo6g1KQ1k, 30.000, 40.000
0ngtpz6rozU, 120.000, 130.000
0njUbtV9tX0, 24.000, 34.000
0nnEs24hhII, 13.000, 23.000
0no_rY6nRQA, 22.000, 32.000
0nwpO4HoXbU, 30.000, 40.000
0o4_jr1Xycg, 20.000, 30.000
0oRAaQIm8zU, 60.000, 70.000
0ofwqeWmzR4, 10.000, 20.000
0oveb4-AsJw, 0.000, 10.000
0owy7QBCqMw, 30.000, 40.000
0pDu3wLAXZA, 130.000, 140.000
0pNLmwA8DdI, 430.000, 440.000
0pONHZBb8Ss, 200.000, 210.000
0pP8oQhs4Sk, 0.000, 10.000
0pPpceBXwK0, 30.000, 40.000
0pQKxpIrWJE, 50.000, 60.000
0phGlXhauF8, 30.000, 40.000
0pvFVpIljvI, 100.000, 110.000
0pvQ0fpTmW8, 30.000, 40.000
0pxLE0wNx-I, 50.000, 60.000
0q7HqNnTopY, 30.000, 40.000
0qACJkpYkHk, 100.000, 110.000
0qRnOCvBVps, 30.000, 40.000
0qVa2q4rKIU, 30.000, 40.000
0qVoQlcv0WE, 22.000, 32.000
0qzPGfRsjT4, 30.000, 40.000
0r9NybRIlCA, 0.000, 7.000
0rCriaksbbg, 40.000, 50.000
0rLhtGJ04vQ, 120.000, 130.000
0rS2_1cmxn4, 30.000, 40.000
0rTkdJOIZCM, 22.000, 32.000
0r_oEXRWFzg, 30.000, 40.000
0rd_a_7J1dc, 140.000, 150.000
0sN3nsg-O0Y, 110.000, 120.000
0swDTYA5NC0, 10.000, 20.000
0t2ToasGTMU, 25.000, 35.000
0tNhTJc9hPk, 30.000, 40.000
0tTsZvATOI8, 30.000, 40.000
0taqJZN43bQ, 30.000, 40.000
0teIF2msVxI, 20.000, 30.000
0toCuaLUfwc, 0.000, 10.000
0tot80uZKTg, 120.000, 130.000
0tu5BIkIzhY, 8.000, 18.000
0u7NheN8j9E, 30.000, 40.000
0u8dXNEWeqA, 180.000, 190.000
0u9yizoEjCA, 30.000, 40.000
0uH8rgFefE8, 30.000, 40.000
0uIpa9p5BEw, 29.000, 39.000
0uRkdMtCuDM, 30.000, 40.000
0us6toqG8lI, 30.000, 40.000
0uuajla5HQ4, 26.000, 36.000
0v56_e_GUA4, 0.000, 10.000
0vOgLGk1dt0, 30.000, 40.000
0vQSxiUncKM, 30.000, 40.000
0vrZq35uHi4, 50.000, 60.000
0w-uhz9rP_Y, 30.000, 40.000
0wEcqw-kBGg, 30.000, 40.000
0wWsei2lyOg, 30.000, 40.000
0wZ535My0zA, 30.000, 40.000
0wgFRL-xcd0, 30.000, 40.000
0wiJZ-N010M, 60.000, 70.000
0wjZnljnFZU, 30.000, 40.000
0x6T3GuwfQs, 30.000, 40.000
0xD9aFI2mlA, 30.000, 40.000
0xNwolCPKf4, 130.000, 140.000
0xTQdziDPyY, 30.000, 40.000
0xTdky5OfKw, 6.000, 16.000
0xdB2_eO3mo, 30.000, 40.000
0xdRdFImji8, 30.000, 40.000
0xtTBHty1II, 30.000, 40.000
0yHOLg98Q1A, 30.000, 40.000
0yReVnML-HM, 30.000, 40.000
0ywi3gZn9xA, 200.000, 210.000
0yxEvdnimGg, 30.000, 40.000
0zMNpOW4R3I, 40.000, 50.000
0zOfqWQuies, 19.000, 29.000
0zPMZlSrLKQ, 80.000, 90.000
0zSw3U9wGdo, 9.000, 19.000
0zVl0vWHiyk, 30.000, 40.000
0zbjV8dDheM, 28.000, 38.000
0zmN7Lvm_J0, 0.000, 10.000
1-2nEjD23_8, 30.000, 40.000
1-C7k_DmA3Y, 170.000, 180.000
1-eIujJgzoY, 30.000, 40.000
1-kCCA9xxT0, 10.000, 20.000
101t505dbKg, 30.000, 40.000
10IaOJtouqY, 21.000, 31.000
10qDCThS98g, 10.000, 20.000
10ranQ1F4hE, 30.000, 40.000
114WkwKJqTY, 30.000, 40.000
115lQZ-dP8E, 10.000, 20.000
116C4_1OP5I, 50.000, 60.000
11VAKIhYAKg, 30.000, 40.000
11YjQXqWqdM, 30.000, 40.000
11k2ukjzSUI, 30.000, 40.000
12KAlK-LGlk, 30.000, 40.000
12cG_JS3SH8, 540.000, 550.000
12fQ3GmQTf4, 70.000, 80.000
12lHWBzDR9E, 30.000, 40.000
12xoTnLspS0, 140.000, 150.000
131F1vPfroA, 6.000, 16.000
132cPtZFO0A, 8.000, 18.000
132qBEwHUeg, 10.000, 20.000
13At_0JxFMw, 29.000, 39.000
